id_estudiante,año_lectivo,edad,genero,nacionalidad,zona_residencia,nivel,grado,tipo_escuela,veces_repitio_grado,sobre_edad,promedio_actual,promedio_anterior,materias_reprobadas,porcentaje_asistencia,tercil_socioeconomico,nivel_educacion_padres,trabaja_estudiante,estado_actual,desertor,probabilidad_desercion
E000024,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,3.83,4.31,0,81.9,1,Secundaria_Completa,0,Activo,0,0.0348
E000025,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,2.49,2.14,3,61.2,1,Primaria_Completa,1,Desertor,1,0.4384
E000026,2020,9,M,Panameña,Rural,Primaria,4,Oficial,0,0,2.98,2.79,1,69.3,1,Secundaria_Incompleta,0,Activo,0,0.091
E000027,2020,16,M,Panameña,Urbana,Media,11,Oficial,0,0,4.04,4.3,0,63.4,1,Primaria_Completa,1,Desertor,1,0.3185
E000028,2020,17,F,Panameña,Urbana,Media,12,Oficial,0,0,3.81,3.58,3,95.9,3,Universidad,0,Activo,0,0.0092
E000029,2020,16,M,Panameña,Urbana,Premedia,9,Oficial,0,2,4.09,4.56,0,78.7,2,Secundaria_Incompleta,0,Activo,0,0.0644
E000030,2020,11,F,Panameña,Urbana,Primaria,6,Oficial,0,0,3.42,3.48,0,88.2,2,Universidad,0,Activo,0,0.0076
E000031,2020,17,M,Panameña,Urbana,Media,12,Particular,0,0,4.8,4.76,0,66.1,2,Secundaria_Completa,1,Activo,0,0.207
E000032,2020,10,M,Panameña,Urbana,Primaria,3,Oficial,0,2,3.78,3.5,1,78.6,1,Secundaria_Incompleta,0,Activo,0,0.0428
E000033,2020,14,F,Panameña,Urbana,Premedia,9,Oficial,0,0,2.75,2.87,0,63.4,1,Secundaria_Incompleta,1,Desertor,1,0.2992
E000034,2020,7,M,Panameña,Rural,Primaria,2,Particular,0,0,3.95,4.04,0,88.2,3,Universidad,0,Activo,0,0.0061
E000035,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,2.98,2.54,0,79.3,1,Primaria_Completa,0,Activo,0,0.0537
E000036,2020,10,M,Panameña,Urbana,Primaria,5,Oficial,0,0,3.14,3.06,3,83.9,2,Secundaria_Completa,0,Activo,0,0.0177
E000037,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,4.99,4.56,0,91.3,3,Universidad,0,Activo,0,0.0073
E000038,2020,10,M,Panameña,Rural,Primaria,5,Oficial,0,0,4.4,4.08,0,79.7,3,Universidad,0,Activo,0,0.0154
E000039,2020,11,F,Panameña,Urbana,Primaria,6,Oficial,0,0,3.04,3.05,0,82.3,2,Secundaria_Incompleta,0,Desertor,1,0.0161
E000040,2020,16,F,Panameña,Urbana,Media,11,Oficial,0,0,4.23,4.01,1,92.4,2,Universidad,0,Activo,0,0.0122
E000041,2020,14,F,Panameña,Urbana,Premedia,9,Oficial,0,0,2.31,2.74,0,70.7,1,Secundaria_Incompleta,0,Activo,0,0.1493
E000042,2020,18,M,Panameña,Rural,Media,11,Oficial,0,2,3.15,3.15,1,71.4,2,Secundaria_Completa,0,Desertor,1,0.2208
E000043,2020,7,F,Panameña,Rural,Primaria,2,Oficial,0,0,4.02,3.63,0,79.2,2,Secundaria_Completa,0,Activo,0,0.0199
E000044,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,3.26,2.72,0,77.2,1,Secundaria_Completa,0,Activo,0,0.0648
E000045,2020,11,M,Panameña,Urbana,Primaria,6,Oficial,0,0,3.21,3.95,0,78.6,2,Universidad,0,Desertor,1,0.0244
E000046,2020,9,M,Panameña,Urbana,Primaria,4,Oficial,0,0,4.7,4.97,0,85.9,3,Secundaria_Completa,0,Activo,0,0.0071
E000047,2020,13,M,Panameña,Urbana,Premedia,8,Oficial,0,0,1.98,1.61,3,59.3,1,Secundaria_Incompleta,0,Activo,0,0.4947
E000048,2020,7,F,Panameña,Urbana,Primaria,2,Oficial,0,0,4.86,4.66,0,79.7,2,Secundaria_Completa,0,Activo,0,0.0165
E000049,2020,6,F,Panameña,Urbana,Primaria,1,Oficial,0,0,3.1,3.08,0,78.5,2,Secundaria_Completa,0,Activo,0,0.0252
E000050,2020,11,M,Panameña,Urbana,Primaria,4,Oficial,0,2,4.22,4.58,0,86.0,3,Universidad,0,Activo,0,0.0116
E000051,2020,14,F,Panameña,Urbana,Premedia,9,Oficial,1,0,2.04,2.21,2,65.4,1,Primaria_Completa,0,Desertor,1,0.3359
E000052,2020,13,M,Panameña,Urbana,Premedia,8,Oficial,1,0,2.48,1.55,1,70.2,1,Universidad,0,Desertor,1,0.1942
E000053,2020,12,F,Panameña,Rural,Premedia,7,Oficial,0,0,3.44,2.89,0,72.8,1,Secundaria_Incompleta,0,Activo,0,0.1023
E000054,2020,14,F,Panameña,Rural,Premedia,9,Particular,0,0,3.49,3.1,0,59.9,1,Primaria_Completa,1,Desertor,1,0.365
E000055,2020,6,M,Panameña,Urbana,Primaria,1,Particular,0,0,4.14,4.12,0,83.7,3,Universidad,0,Desertor,1,0.01
E000056,2020,17,M,Panameña,Urbana,Media,10,Oficial,0,2,3.0,3.37,2,61.0,1,Primaria_Completa,1,Desertor,1,0.5838
E000057,2020,13,F,Panameña,Rural,Premedia,8,Oficial,0,0,1.82,1.23,0,61.3,1,Primaria_Completa,1,Desertor,1,0.3893
E000058,2020,9,F,Panameña,Urbana,Primaria,4,Oficial,0,0,2.49,2.47,2,78.9,2,Universidad,0,Desertor,1,0.0319
E000059,2020,9,F,Panameña,Urbana,Primaria,1,Oficial,0,3,2.74,2.18,2,63.0,1,Secundaria_Incompleta,0,Desertor,1,0.3214
E000060,2020,7,M,Panameña,Urbana,Primaria,2,Oficial,0,0,4.64,4.79,0,83.8,3,Secundaria_Completa,0,Desertor,1,0.0092
E000061,2020,16,M,Panameña,Rural,Media,10,Oficial,0,1,3.22,4.01,2,82.3,2,Universidad,0,Activo,0,0.0628
E000062,2020,9,M,Panameña,Urbana,Primaria,4,Oficial,0,0,3.64,3.02,0,72.7,1,Primaria_Completa,0,Activo,0,0.0518
E000063,2020,7,M,Panameña,Rural,Primaria,2,Oficial,0,0,4.19,4.51,0,86.7,3,Universidad,0,Activo,0,0.007
E000064,2020,14,F,Panameña,Rural,Premedia,9,Oficial,0,0,2.52,2.8,2,78.6,1,Secundaria_Completa,0,Desertor,1,0.0744
E000065,2020,8,M,Panameña,Urbana,Primaria,3,Particular,0,0,3.69,3.36,0,85.5,3,Secundaria_Completa,0,Activo,0,0.0087
E000066,2020,8,F,Panameña,Urbana,Primaria,3,Particular,0,0,3.2,3.57,0,70.0,1,Secundaria_Incompleta,0,Desertor,1,0.0746
E000067,2020,13,F,Panameña,Urbana,Primaria,5,Oficial,0,3,2.43,2.63,0,64.9,1,Secundaria_Incompleta,0,Desertor,1,0.2464
E000068,2020,9,M,Panameña,Urbana,Primaria,3,Oficial,0,1,3.33,3.94,0,72.3,1,Primaria_Completa,0,Activo,0,0.0697
E000069,2020,17,F,Panameña,Rural,Media,12,Oficial,1,0,2.27,2.11,2,53.5,1,Secundaria_Completa,1,Desertor,1,0.7493
E000070,2020,14,F,Panameña,Rural,Premedia,9,Oficial,0,0,4.26,4.11,0,90.4,3,Secundaria_Completa,0,Activo,0,0.0091
E000071,2020,17,M,Panameña,Urbana,Media,12,Oficial,0,0,3.09,3.18,0,90.7,3,Universidad,0,Activo,0,0.0142
E000072,2020,16,F,Panameña,Rural,Media,11,Oficial,0,0,4.36,4.77,0,90.2,3,Universidad,0,Activo,0,0.0123
E000073,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,2.96,2.99,0,84.2,3,Universidad,0,Activo,0,0.0232
E000074,2020,12,M,Panameña,Urbana,Premedia,7,Oficial,2,0,2.39,2.23,3,71.9,1,Primaria_Completa,0,Desertor,1,0.78
E000075,2020,15,F,Panameña,Urbana,Media,10,Particular,0,0,4.21,3.78,2,76.2,2,Secundaria_Incompleta,0,Desertor,1,0.0874
E000076,2020,13,M,Panameña,Rural,Premedia,8,Oficial,0,0,3.78,3.93,3,71.2,1,Primaria_Incompleta,0,Activo,0,0.218
E000077,2020,11,M,Panameña,Urbana,Primaria,6,Oficial,0,0,4.58,5.0,0,74.9,1,Secundaria_Completa,0,Activo,0,0.0346
E000078,2020,9,F,Panameña,Urbana,Primaria,4,Oficial,0,0,3.92,3.82,0,87.6,2,Secundaria_Completa,0,Activo,0,0.0075
E000079,2020,14,M,Panameña,Urbana,Premedia,9,Particular,0,0,3.44,3.92,0,89.7,2,Secundaria_Incompleta,0,Activo,0,0.0128
E000080,2020,17,F,Panameña,Urbana,Media,12,Oficial,0,0,2.41,2.85,3,70.9,1,Secundaria_Completa,0,Activo,0,0.2351
E000081,2020,7,F,Panameña,Urbana,Primaria,1,Oficial,0,1,2.4,2.66,1,63.8,1,Secundaria_Incompleta,0,Desertor,1,0.2095
E000082,2020,17,M,Panameña,Rural,Media,12,Particular,0,0,3.15,3.03,0,77.1,2,Primaria_Completa,1,Activo,0,0.0833
E000083,2020,14,F,Panameña,Rural,Primaria,6,Oficial,1,3,2.94,2.04,0,70.7,1,Secundaria_Completa,0,Desertor,1,0.1521
E000084,2020,6,M,Panameña,Urbana,Primaria,1,Oficial,0,0,3.84,3.61,0,87.4,2,Secundaria_Incompleta,0,Activo,0,0.0078
E000085,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,4.7,4.69,0,80.6,2,Secundaria_Completa,0,Activo,0,0.0309
E000086,2020,12,M,Panameña,Rural,Premedia,7,Particular,0,0,3.06,2.92,0,90.0,3,Universidad,0,Activo,0,0.0115
E000087,2020,9,M,Panameña,Urbana,Primaria,4,Oficial,0,0,4.29,3.94,0,81.2,2,Secundaria_Completa,0,Activo,0,0.0152
E000088,2020,12,M,Panameña,Urbana,Primaria,5,Oficial,0,2,2.96,3.39,0,72.1,1,Primaria_Completa,0,Activo,0,0.0918
E000089,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,3.96,4.08,0,67.4,1,Primaria_Completa,1,Desertor,1,0.1789
E000090,2020,14,M,Panameña,Rural,Premedia,9,Oficial,0,0,3.4,3.34,0,56.7,1,Primaria_Completa,1,Desertor,1,0.4613
E000091,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,3.97,3.88,3,67.5,1,Secundaria_Incompleta,0,Activo,0,0.212
E000092,2020,9,F,Panameña,Urbana,Primaria,4,Oficial,0,0,3.13,2.81,0,86.7,2,Universidad,0,Desertor,1,0.0094
E000093,2020,14,F,Panameña,Urbana,Premedia,7,Oficial,1,2,1.59,1.07,1,66.3,1,Secundaria_Incompleta,0,Desertor,1,0.4078
E000094,2020,16,F,Panameña,Urbana,Media,11,Particular,0,0,4.58,4.51,0,84.5,3,Secundaria_Completa,0,Activo,0,0.0232
E000095,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,3.42,3.9,0,68.5,1,Secundaria_Incompleta,0,Desertor,1,0.1606
E000096,2020,14,M,Panameña,Urbana,Premedia,7,Oficial,1,2,2.33,1.63,2,72.5,1,Secundaria_Incompleta,0,Desertor,1,0.243
E000097,2020,13,F,Panameña,Urbana,Primaria,5,Oficial,0,3,3.32,3.02,0,79.1,1,Secundaria_Incompleta,0,Desertor,1,0.0489
E000098,2020,17,F,Panameña,Rural,Media,10,Oficial,0,2,4.05,3.68,0,65.8,1,Secundaria_Incompleta,1,Activo,0,0.3506
E000099,2020,8,M,Panameña,Urbana,Primaria,3,Particular,0,0,4.46,4.41,3,83.0,2,Secundaria_Incompleta,0,Activo,0,0.016
E000100,2020,7,F,Panameña,Urbana,Primaria,1,Oficial,0,1,1.92,1.69,1,67.0,1,Primaria_Completa,0,Activo,0,0.1629
E000101,2020,6,F,Panameña,Rural,Primaria,1,Oficial,0,0,4.23,4.83,0,67.3,1,Secundaria_Incompleta,0,Desertor,1,0.0865
E000102,2020,6,M,Panameña,Urbana,Primaria,1,Oficial,0,0,2.87,2.83,0,82.3,2,Secundaria_Incompleta,0,Activo,0,0.0166
E000103,2020,8,F,Panameña,Urbana,Primaria,3,Oficial,2,0,2.31,2.3,2,78.5,1,Primaria_Incompleta,0,Desertor,1,0.5286
E000104,2020,17,M,Panameña,Rural,Media,12,Oficial,0,0,5.0,4.63,0,95.3,3,Universidad,0,Activo,0,0.006
E000105,2020,15,F,Panameña,Urbana,Media,10,Oficial,0,0,3.93,3.47,0,85.7,3,Secundaria_Completa,0,Activo,0,0.0224
E000106,2020,11,F,Panameña,Urbana,Primaria,6,Oficial,2,0,2.39,2.31,3,69.7,1,Primaria_Incompleta,0,Desertor,1,0.7781
E000107,2020,13,M,Panameña,Urbana,Premedia,8,Oficial,2,0,2.24,2.02,0,71.6,1,Secundaria_Incompleta,0,Desertor,1,0.7354
E000108,2020,13,M,Panameña,Urbana,Primaria,5,Oficial,0,3,2.77,2.73,0,80.3,1,Secundaria_Completa,0,Activo,0,0.0465
E000109,2020,11,F,Panameña,Urbana,Primaria,6,Oficial,0,0,2.97,2.71,0,69.7,1,Primaria_Completa,0,Activo,0,0.0798
E000110,2020,16,M,Panameña,Rural,Media,11,Particular,0,0,3.84,3.56,0,74.3,2,Secundaria_Completa,1,Activo,0,0.1017
E000111,2020,16,F,Panameña,Urbana,Media,11,Oficial,0,0,3.49,3.41,0,68.6,2,Secundaria_Incompleta,1,Desertor,1,0.1916
E000112,2020,11,F,Panameña,Urbana,Primaria,6,Oficial,0,0,3.37,3.05,0,76.8,1,Secundaria_Incompleta,0,Desertor,1,0.0335
E000113,2020,15,F,Panameña,Rural,Media,10,Oficial,0,0,3.69,3.9,0,95.2,3,Universidad,0,Activo,0,0.0075
E000114,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,3.5,3.11,0,84.1,2,Universidad,0,Desertor,1,0.0249
E000115,2020,16,M,Panameña,Rural,Premedia,9,Oficial,0,2,2.12,2.27,1,52.2,1,Primaria_Completa,1,Desertor,1,0.7556
E000116,2020,19,M,Panameña,Urbana,Media,12,Oficial,0,2,3.3,3.21,0,77.1,2,Secundaria_Completa,0,Activo,0,0.1124
E000117,2020,17,M,Panameña,Urbana,Media,12,Particular,0,0,2.61,2.88,1,57.8,1,Secundaria_Incompleta,1,Desertor,1,0.5598
E000118,2020,15,M,Panameña,Urbana,Media,10,Particular,0,0,4.52,4.28,0,94.7,3,Secundaria_Completa,0,Activo,0,0.007
E000119,2020,14,M,Panameña,Rural,Premedia,9,Oficial,0,0,2.04,1.36,2,77.0,2,Primaria_Completa,0,Desertor,1,0.0842
E000120,2020,17,M,Panameña,Urbana,Media,12,Oficial,0,0,4.72,4.28,0,85.3,3,Universidad,0,Desertor,1,0.0207
E000121,2020,17,F,Panameña,Urbana,Media,12,Oficial,0,0,3.76,3.76,0,94.7,2,Universidad,0,Activo,0,0.009
E000122,2020,15,F,Panameña,Urbana,Premedia,9,Oficial,1,1,2.49,1.89,3,54.2,1,Secundaria_Incompleta,1,Desertor,1,0.731
E000123,2020,13,M,Panameña,Urbana,Premedia,8,Oficial,0,0,3.17,3.52,0,72.8,1,Secundaria_Incompleta,0,Activo,0,0.1066
E000124,2020,10,M,Panameña,Urbana,Primaria,5,Oficial,0,0,2.44,1.68,3,57.2,1,Primaria_Completa,1,Desertor,1,0.3831
E000125,2020,10,F,Panameña,Urbana,Primaria,5,Oficial,0,0,1.72,1.86,2,59.6,1,Secundaria_Incompleta,1,Desertor,1,0.321
E000126,2020,8,M,Panameña,Urbana,Primaria,3,Particular,0,0,3.25,3.3,0,71.5,1,Secundaria_Incompleta,0,Activo,0,0.0627
E000127,2020,14,F,Panameña,Rural,Premedia,9,Oficial,0,0,3.63,3.55,0,93.9,2,Secundaria_Incompleta,0,Activo,0,0.0076
E000128,2020,16,F,Panameña,Urbana,Media,11,Oficial,0,0,3.64,3.86,0,86.7,2,Primaria_Completa,0,Desertor,1,0.0238
E000129,2020,12,F,Panameña,Urbana,Premedia,7,Oficial,0,0,3.45,3.57,0,71.3,1,Secundaria_Completa,0,Desertor,1,0.1198
E000130,2020,17,M,Panameña,Rural,Media,12,Particular,0,0,4.0,3.63,0,82.6,2,Secundaria_Incompleta,0,Desertor,1,0.0364
E000131,2020,14,M,Panameña,Rural,Premedia,9,Particular,1,0,1.99,1.08,3,66.4,1,Primaria_Completa,0,Desertor,1,0.3346
E000132,2020,10,M,Panameña,Urbana,Primaria,5,Oficial,0,0,4.3,4.1,0,89.1,2,Universidad,0,Activo,0,0.0059
E000133,2020,9,M,Panameña,Urbana,Primaria,3,Oficial,0,1,3.84,3.21,0,70.9,1,Primaria_Completa,0,Desertor,1,0.0751
E000134,2020,8,F,Panameña,Urbana,Primaria,3,Oficial,0,0,4.69,5.0,0,85.8,3,Secundaria_Completa,0,Activo,0,0.0072
E000135,2020,8,M,Panameña,Rural,Primaria,3,Oficial,0,0,4.39,4.24,0,92.3,3,Secundaria_Completa,0,Activo,0,0.0035
E000136,2020,10,F,Panameña,Rural,Primaria,5,Particular,2,0,2.28,1.56,0,65.2,1,Secundaria_Completa,0,Desertor,1,0.7445
E000137,2020,11,F,Panameña,Urbana,Primaria,5,Oficial,1,1,2.66,2.22,0,62.0,1,Secundaria_Incompleta,0,Activo,0,0.2562
E000138,2020,7,M,Panameña,Urbana,Primaria,2,Oficial,0,0,3.85,3.61,0,84.9,2,Secundaria_Incompleta,0,Desertor,1,0.0105
E000139,2020,9,F,Panameña,Urbana,Primaria,4,Oficial,0,0,4.94,5.0,0,81.3,2,Universidad,1,Activo,0,0.0146
E000140,2020,6,M,Panameña,Urbana,Primaria,1,Oficial,0,0,5.0,5.0,0,93.6,2,Secundaria_Completa,0,Activo,0,0.0031
E000141,2020,16,M,Panameña,Urbana,Premedia,8,Oficial,0,3,3.01,2.76,0,62.4,1,Secundaria_Incompleta,1,Desertor,1,0.4727
E000142,2020,9,F,Panameña,Urbana,Primaria,4,Particular,0,0,3.9,3.4,1,82.9,3,Universidad,1,Activo,0,0.0137
E000143,2020,17,F,Panameña,Rural,Media,12,Oficial,0,0,1.96,2.42,1,58.3,1,Secundaria_Incompleta,0,Desertor,1,0.5519
E000144,2020,17,F,Panameña,Urbana,Media,12,Oficial,0,0,3.55,3.41,0,81.3,1,Secundaria_Incompleta,0,Desertor,1,0.0516
E000145,2020,10,M,Panameña,Urbana,Primaria,5,Oficial,0,0,2.86,3.02,3,77.8,1,Secundaria_Completa,0,Activo,0,0.0432
E000146,2020,15,F,Panameña,Urbana,Media,10,Oficial,0,0,4.96,5.0,0,88.8,3,Universidad,0,Activo,0,0.0131
E000147,2020,11,M,Panameña,Urbana,Primaria,6,Oficial,0,0,3.01,3.61,0,76.6,1,Secundaria_Completa,0,Desertor,1,0.0365
E000148,2020,8,F,Panameña,Urbana,Primaria,3,Oficial,1,0,2.54,2.27,0,61.5,1,Secundaria_Incompleta,1,Desertor,1,0.2435
E000149,2020,7,M,Panameña,Urbana,Primaria,2,Particular,1,0,2.55,2.47,0,68.9,1,Primaria_Completa,0,Desertor,1,0.1094
E000150,2020,17,F,Panameña,Urbana,Media,11,Oficial,0,1,2.45,3.31,2,62.1,1,Secundaria_Incompleta,0,Desertor,1,0.4979
E000151,2020,14,F,Panameña,Rural,Premedia,9,Particular,0,0,3.79,3.45,0,63.3,1,Primaria_Completa,1,Desertor,1,0.2684
E000152,2020,6,F,Panameña,Urbana,Primaria,1,Oficial,0,0,5.0,5.0,0,91.5,3,Universidad,0,Activo,0,0.0034
E000153,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,3.53,3.49,0,80.3,3,Universidad,0,Activo,0,0.0337
E000154,2020,17,M,Panameña,Urbana,Media,11,Oficial,1,1,1.87,2.43,2,62.4,1,Secundaria_Incompleta,1,Desertor,1,0.5759
E000155,2020,12,F,Panameña,Urbana,Premedia,7,Particular,0,0,4.24,4.39,0,93.4,3,Universidad,0,Activo,0,0.0064
E000156,2020,8,F,Panameña,Rural,Primaria,3,Oficial,0,0,3.17,3.02,0,69.6,1,Secundaria_Incompleta,0,Activo,0,0.0787
E000157,2020,16,F,Panameña,Urbana,Media,11,Oficial,0,0,2.99,3.36,0,68.9,1,Secundaria_Incompleta,1,Desertor,1,0.2218
E000158,2020,6,M,Panameña,Urbana,Primaria,1,Oficial,1,0,2.3,1.84,3,57.0,1,Primaria_Completa,0,Desertor,1,0.4173
E000159,2020,17,M,Panameña,Urbana,Media,12,Oficial,0,0,3.88,3.9,0,94.2,2,Universidad,0,Activo,0,0.0094
E000160,2020,9,M,Panameña,Rural,Primaria,2,Oficial,0,2,3.48,3.11,0,79.1,1,Secundaria_Incompleta,0,Activo,0,0.0386
E000161,2020,13,M,Panameña,Urbana,Primaria,6,Oficial,0,2,3.13,2.68,0,83.3,2,Secundaria_Incompleta,0,Activo,0,0.0217
E000162,2020,18,M,Panameña,Urbana,Media,11,Oficial,0,2,4.7,4.25,1,77.0,2,Secundaria_Incompleta,0,Desertor,1,0.1014
E000163,2020,9,M,Panameña,Rural,Primaria,4,Oficial,0,0,2.13,1.95,2,64.2,1,Secundaria_Incompleta,0,Activo,0,0.1897
E000164,2020,16,M,Panameña,Rural,Media,11,Oficial,0,0,3.53,3.42,0,79.5,1,Primaria_Completa,0,Desertor,1,0.0636
E000165,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,4.59,4.94,0,90.7,2,Secundaria_Completa,0,Desertor,1,0.0096
E000166,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,3.59,2.88,0,71.1,1,Secundaria_Incompleta,0,Desertor,1,0.121
E000167,2020,15,M,Panameña,Rural,Media,10,Oficial,0,0,4.46,4.2,0,84.2,2,Secundaria_Completa,0,Desertor,1,0.0282
E000168,2020,9,F,Panameña,Urbana,Primaria,1,Oficial,0,3,2.34,3.51,0,63.5,1,Secundaria_Incompleta,0,Desertor,1,0.2823
E000169,2020,15,M,Panameña,Urbana,Premedia,7,Oficial,0,3,3.87,4.09,0,77.1,1,Secundaria_Incompleta,0,Desertor,1,0.11
E000170,2020,9,F,Panameña,Rural,Primaria,4,Oficial,0,0,2.17,2.19,1,67.0,1,Primaria_Completa,0,Activo,0,0.1312
E000171,2020,7,M,Panameña,Rural,Primaria,2,Oficial,0,0,3.3,3.32,0,75.4,2,Secundaria_Incompleta,0,Activo,0,0.0349
E000172,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,4.27,3.91,0,68.4,1,Secundaria_Incompleta,0,Activo,0,0.1446
E000173,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,3.61,3.61,0,79.7,1,Primaria_Completa,0,Activo,0,0.0464
E000174,2020,6,F,Panameña,Urbana,Primaria,1,Oficial,0,0,3.4,3.47,0,84.9,2,Secundaria_Completa,0,Activo,0,0.0112
E000175,2020,16,M,Panameña,Rural,Media,11,Oficial,0,0,3.75,4.2,0,73.2,1,Secundaria_Incompleta,0,Activo,0,0.1222
E000176,2020,16,M,Panameña,Rural,Media,11,Oficial,0,0,3.37,3.55,3,73.6,1,Primaria_Completa,0,Desertor,1,0.1601
E000177,2020,9,M,Panameña,Rural,Primaria,3,Oficial,0,1,2.95,3.65,0,80.5,1,Secundaria_Completa,0,Activo,0,0.0289
E000178,2020,15,M,Panameña,Urbana,Premedia,9,Oficial,0,1,3.17,3.4,1,71.6,1,Primaria_Completa,0,Activo,0,0.159
E000179,2020,10,F,Panameña,Rural,Primaria,5,Oficial,0,0,3.81,3.57,0,76.1,3,Universidad,1,Activo,0,0.0279
E000180,2020,6,F,Panameña,Urbana,Primaria,1,Oficial,0,0,3.52,3.72,0,68.3,2,Universidad,1,Activo,0,0.081
E000181,2020,11,F,Panameña,Rural,Primaria,5,Oficial,0,1,3.74,3.54,0,82.9,2,Universidad,0,Desertor,1,0.0168
E000182,2020,6,M,Panameña,Rural,Primaria,1,Oficial,0,0,4.65,4.47,0,84.3,1,Secundaria_Incompleta,0,Activo,0,0.0114
