edad,genero,zona_residencia,nivel,grado,tipo_escuela,veces_repitio_grado,sobre_edad,promedio_actual,promedio_anterior,materias_reprobadas,porcentaje_asistencia,tercil_socioeconomico,nivel_educacion_padres,trabaja_estudiante
14,M,Urbana,Premedia,9,Particular,0,0,3.44,3.92,0,89.7,2,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Oficial,0,0,2.41,2.85,3,70.9,1,Secundaria_Completa,0
7,F,Urbana,Primaria,1,Oficial,0,1,2.4,2.66,1,63.8,1,Secundaria_Incompleta,0
17,M,Rural,Media,12,Particular,0,0,3.15,3.03,0,77.1,2,Primaria_Completa,1
14,F,Rural,Primaria,6,Oficial,1,3,2.94,2.04,0,70.7,1,Secundaria_Completa,0
6,M,Urbana,Primaria,1,Oficial,0,0,3.84,3.61,0,87.4,2,Secundaria_Incompleta,0
14,M,Urbana,Premedia,9,Oficial,0,0,4.7,4.69,0,80.6,2,Secundaria_Completa,0
12,M,Rural,Premedia,7,Particular,0,0,3.06,2.92,0,90.0,3,Universidad,0
9,M,Urbana,Primaria,4,Oficial,0,0,4.29,3.94,0,81.2,2,Secundaria_Completa,0
12,M,Urbana,Primaria,5,Oficial,0,2,2.96,3.39,0,72.1,1,Primaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,3.96,4.08,0,67.4,1,Primaria_Completa,1
14,M,Rural,Premedia,9,Oficial,0,0,3.4,3.34,0,56.7,1,Primaria_Completa,1
14,M,Urbana,Premedia,9,Oficial,0,0,3.97,3.88,3,67.5,1,Secundaria_Incompleta,0
9,F,Urbana,Primaria,4,Oficial,0,0,3.13,2.81,0,86.7,2,Universidad,0
14,F,Urbana,Premedia,7,Oficial,1,2,1.59,1.07,1,66.3,1,Secundaria_Incompleta,0
16,F,Urbana,Media,11,Particular,0,0,4.58,4.51,0,84.5,3,Secundaria_Completa,0
13,F,Urbana,Premedia,8,Oficial,0,0,3.42,3.9,0,68.5,1,Secundaria_Incompleta,0
14,M,Urbana,Premedia,7,Oficial,1,2,2.33,1.63,2,72.5,1,Secundaria_Incompleta,0
13,F,Urbana,Primaria,5,Oficial,0,3,3.32,3.02,0,79.1,1,Secundaria_Incompleta,0
17,F,Rural,Media,10,Oficial,0,2,4.05,3.68,0,65.8,1,Secundaria_Incompleta,1
8,M,Urbana,Primaria,3,Particular,0,0,4.46,4.41,3,83.0,2,Secundaria_Incompleta,0
7,F,Urbana,Primaria,1,Oficial,0,1,1.92,1.69,1,67.0,1,Primaria_Completa,0
6,F,Rural,Primaria,1,Oficial,0,0,4.23,4.83,0,67.3,1,Secundaria_Incompleta,0
6,M,Urbana,Primaria,1,Oficial,0,0,2.87,2.83,0,82.3,2,Secundaria_Incompleta,0
8,F,Urbana,Primaria,3,Oficial,2,0,2.31,2.3,2,78.5,1,Primaria_Incompleta,0
17,M,Rural,Media,12,Oficial,0,0,5.0,4.63,0,95.3,3,Universidad,0
15,F,Urbana,Media,10,Oficial,0,0,3.93,3.47,0,85.7,3,Secundaria_Completa,0
11,F,Urbana,Primaria,6,Oficial,2,0,2.39,2.31,3,69.7,1,Primaria_Incompleta,0
13,M,Urbana,Premedia,8,Oficial,2,0,2.24,2.02,0,71.6,1,Secundaria_Incompleta,0
13,M,Urbana,Primaria,5,Oficial,0,3,2.77,2.73,0,80.3,1,Secundaria_Completa,0
11,F,Urbana,Primaria,6,Oficial,0,0,2.97,2.71,0,69.7,1,Primaria_Completa,0
16,M,Rural,Media,11,Particular,0,0,3.84,3.56,0,74.3,2,Secundaria_Completa,1
16,F,Urbana,Media,11,Oficial,0,0,3.49,3.41,0,68.6,2,Secundaria_Incompleta,1
11,F,Urbana,Primaria,6,Oficial,0,0,3.37,3.05,0,76.8,1,Secundaria_Incompleta,0
15,F,Rural,Media,10,Oficial,0,0,3.69,3.9,0,95.2,3,Universidad,0
13,F,Urbana,Premedia,8,Oficial,0,0,3.5,3.11,0,84.1,2,Universidad,0
16,M,Rural,Premedia,9,Oficial,0,2,2.12,2.27,1,52.2,1,Primaria_Completa,1
19,M,Urbana,Media,12,Oficial,0,2,3.3,3.21,0,77.1,2,Secundaria_Completa,0
17,M,Urbana,Media,12,Particular,0,0,2.61,2.88,1,57.8,1,Secundaria_Incompleta,1
15,M,Urbana,Media,10,Particular,0,0,4.52,4.28,0,94.7,3,Secundaria_Completa,0
14,M,Rural,Premedia,9,Oficial,0,0,2.04,1.36,2,77.0,2,Primaria_Completa,0
17,M,Urbana,Media,12,Oficial,0,0,4.72,4.28,0,85.3,3,Universidad,0
17,F,Urbana,Media,12,Oficial,0,0,3.76,3.76,0,94.7,2,Universidad,0
15,F,Urbana,Premedia,9,Oficial,1,1,2.49,1.89,3,54.2,1,Secundaria_Incompleta,1
13,M,Urbana,Premedia,8,Oficial,0,0,3.17,3.52,0,72.8,1,Secundaria_Incompleta,0
10,M,Urbana,Primaria,5,Oficial,0,0,2.44,1.68,3,57.2,1,Primaria_Completa,1
10,F,Urbana,Primaria,5,Oficial,0,0,1.72,1.86,2,59.6,1,Secundaria_Incompleta,1
8,M,Urbana,Primaria,3,Particular,0,0,3.25,3.3,0,71.5,1,Secundaria_Incompleta,0
14,F,Rural,Premedia,9,Oficial,0,0,3.63,3.55,0,93.9,2,Secundaria_Incompleta,0
16,F,Urbana,Media,11,Oficial,0,0,3.64,3.86,0,86.7,2,Primaria_Completa,0
12,F,Urbana,Premedia,7,Oficial,0,0,3.45,3.57,0,71.3,1,Secundaria_Completa,0
17,M,Rural,Media,12,Particular,0,0,4.0,3.63,0,82.6,2,Secundaria_Incompleta,0
14,M,Rural,Premedia,9,Particular,1,0,1.99,1.08,3,66.4,1,Primaria_Completa,0
10,M,Urbana,Primaria,5,Oficial,0,0,4.3,4.1,0,89.1,2,Universidad,0
9,M,Urbana,Primaria,3,Oficial,0,1,3.84,3.21,0,70.9,1,Primaria_Completa,0
8,F,Urbana,Primaria,3,Oficial,0,0,4.69,5.0,0,85.8,3,Secundaria_Completa,0
8,M,Rural,Primaria,3,Oficial,0,0,4.39,4.24,0,92.3,3,Secundaria_Completa,0
10,F,Rural,Primaria,5,Particular,2,0,2.28,1.56,0,65.2,1,Secundaria_Completa,0
11,F,Urbana,Primaria,5,Oficial,1,1,2.66,2.22,0,62.0,1,Secundaria_Incompleta,0
7,M,Urbana,Primaria,2,Oficial,0,0,3.85,3.61,0,84.9,2,Secundaria_Incompleta,0
9,F,Urbana,Primaria,4,Oficial,0,0,4.94,5.0,0,81.3,2,Universidad,1
6,M,Urbana,Primaria,1,Oficial,0,0,5.0,5.0,0,93.6,2,Secundaria_Completa,0
16,M,Urbana,Premedia,8,Oficial,0,3,3.01,2.76,0,62.4,1,Secundaria_Incompleta,1
9,F,Urbana,Primaria,4,Particular,0,0,3.9,3.4,1,82.9,3,Universidad,1
17,F,Rural,Media,12,Oficial,0,0,1.96,2.42,1,58.3,1,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Oficial,0,0,3.55,3.41,0,81.3,1,Secundaria_Incompleta,0
10,M,Urbana,Primaria,5,Oficial,0,0,2.86,3.02,3,77.8,1,Secundaria_Completa,0
15,F,Urbana,Media,10,Oficial,0,0,4.96,5.0,0,88.8,3,Universidad,0
11,M,Urbana,Primaria,6,Oficial,0,0,3.01,3.61,0,76.6,1,Secundaria_Completa,0
8,F,Urbana,Primaria,3,Oficial,1,0,2.54,2.27,0,61.5,1,Secundaria_Incompleta,1
7,M,Urbana,Primaria,2,Particular,1,0,2.55,2.47,0,68.9,1,Primaria_Completa,0
17,F,Urbana,Media,11,Oficial,0,1,2.45,3.31,2,62.1,1,Secundaria_Incompleta,0
14,F,Rural,Premedia,9,Particular,0,0,3.79,3.45,0,63.3,1,Primaria_Completa,1
6,F,Urbana,Primaria,1,Oficial,0,0,5.0,5.0,0,91.5,3,Universidad,0
13,F,Urbana,Premedia,8,Oficial,0,0,3.53,3.49,0,80.3,3,Universidad,0
17,M,Urbana,Media,11,Oficial,1,1,1.87,2.43,2,62.4,1,Secundaria_Incompleta,1
12,F,Urbana,Premedia,7,Particular,0,0,4.24,4.39,0,93.4,3,Universidad,0
8,F,Rural,Primaria,3,Oficial,0,0,3.17,3.02,0,69.6,1,Secundaria_Incompleta,0
16,F,Urbana,Media,11,Oficial,0,0,2.99,3.36,0,68.9,1,Secundaria_Incompleta,1
6,M,Urbana,Primaria,1,Oficial,1,0,2.3,1.84,3,57.0,1,Primaria_Completa,0
17,M,Urbana,Media,12,Oficial,0,0,3.88,3.9,0,94.2,2,Universidad,0
9,M,Rural,Primaria,2,Oficial,0,2,3.48,3.11,0,79.1,1,Secundaria_Incompleta,0
13,M,Urbana,Primaria,6,Oficial,0,2,3.13,2.68,0,83.3,2,Secundaria_Incompleta,0
18,M,Urbana,Media,11,Oficial,0,2,4.7,4.25,1,77.0,2,Secundaria_Incompleta,0
9,M,Rural,Primaria,4,Oficial,0,0,2.13,1.95,2,64.2,1,Secundaria_Incompleta,0
16,M,Rural,Media,11,Oficial,0,0,3.53,3.42,0,79.5,1,Primaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,4.59,4.94,0,90.7,2,Secundaria_Completa,0
13,F,Urbana,Premedia,8,Oficial,0,0,3.59,2.88,0,71.1,1,Secundaria_Incompleta,0
15,M,Rural,Media,10,Oficial,0,0,4.46,4.2,0,84.2,2,Secundaria_Completa,0
9,F,Urbana,Primaria,1,Oficial,0,3,2.34,3.51,0,63.5,1,Secundaria_Incompleta,0
15,M,Urbana,Premedia,7,Oficial,0,3,3.87,4.09,0,77.1,1,Secundaria_Incompleta,0
9,F,Rural,Primaria,4,Oficial,0,0,2.17,2.19,1,67.0,1,Primaria_Completa,0
7,M,Rural,Primaria,2,Oficial,0,0,3.3,3.32,0,75.4,2,Secundaria_Incompleta,0
13,F,Urbana,Premedia,8,Oficial,0,0,4.27,3.91,0,68.4,1,Secundaria_Incompleta,0
14,M,Urbana,Premedia,9,Oficial,0,0,3.61,3.61,0,79.7,1,Primaria_Completa,0
6,F,Urbana,Primaria,1,Oficial,0,0,3.4,3.47,0,84.9,2,Secundaria_Completa,0
16,M,Rural,Media,11,Oficial,0,0,3.75,4.2,0,73.2,1,Secundaria_Incompleta,0
16,M,Rural,Media,11,Oficial,0,0,3.37,3.55,3,73.6,1,Primaria_Completa,0
9,M,Rural,Primaria,3,Oficial,0,1,2.95,3.65,0,80.5,1,Secundaria_Completa,0
15,M,Urbana,Premedia,9,Oficial,0,1,3.17,3.4,1,71.6,1,Primaria_Completa,0
10,F,Rural,Primaria,5,Oficial,0,0,3.81,3.57,0,76.1,3,Universidad,1
6,F,Urbana,Primaria,1,Oficial,0,0,3.52,3.72,0,68.3,2,Universidad,1
11,F,Rural,Primaria,5,Oficial,0,1,3.74,3.54,0,82.9,2,Universidad,0
6,M,Rural,Primaria,1,Oficial,0,0,4.65,4.47,0,84.3,1,Secundaria_Incompleta,0
10,M,Urbana,Primaria,3,Oficial,0,2,2.75,3.03,0,79.7,2,Secundaria_Incompleta,0
14,M,Urbana,Premedia,9,Oficial,0,0,3.94,4.03,0,89.6,2,Universidad,0
12,M,Rural,Premedia,7,Oficial,0,0,3.04,2.77,0,75.0,1,Primaria_Completa,0
9,F,Urbana,Primaria,4,Oficial,0,0,2.11,2.11,0,64.5,1,Secundaria_Incompleta,0
10,M,Urbana,Primaria,5,Oficial,1,0,2.44,1.94,1,69.9,1,Secundaria_Incompleta,0
16,M,Urbana,Media,11,Oficial,0,0,2.79,2.68,2,83.9,1,Primaria_Completa,0
13,M,Rural,Primaria,6,Particular,0,2,2.86,3.21,0,78.7,1,Secundaria_Completa,0
15,F,Rural,Media,10,Oficial,0,0,4.54,4.84,0,58.7,1,Secundaria_Incompleta,1
9,M,Urbana,Primaria,4,Oficial,0,0,2.96,2.79,0,85.6,2,Secundaria_Completa,0
10,M,Urbana,Primaria,5,Oficial,0,0,3.1,3.24,0,57.3,1,Primaria_Completa,1
17,F,Urbana,Media,12,Oficial,0,0,1.52,1.32,2,63.8,1,Secundaria_Incompleta,0
11,F,Urbana,Primaria,6,Oficial,0,0,3.26,3.45,0,79.1,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,3.41,3.06,0,62.7,1,Secundaria_Completa,0
16,M,Urbana,Media,11,Particular,0,0,3.06,2.59,0,77.6,2,Secundaria_Completa,1
13,F,Urbana,Premedia,8,Oficial,0,0,4.56,5.0,0,94.0,3,Universidad,0
17,M,Urbana,Media,12,Oficial,0,0,2.84,2.71,1,63.5,1,Primaria_Completa,1
7,F,Urbana,Primaria,2,Oficial,0,0,4.79,5.0,0,95.5,3,Universidad,0
13,F,Urbana,Premedia,8,Oficial,0,0,3.7,3.47,0,86.5,3,Secundaria_Completa,0
16,F,Urbana,Premedia,9,Oficial,0,2,3.72,4.19,0,89.0,2,Secundaria_Completa,0
11,M,Rural,Primaria,5,Particular,0,1,2.36,2.75,1,66.3,1,Secundaria_Completa,0
18,M,Urbana,Media,12,Particular,0,1,4.09,4.46,0,65.2,1,Secundaria_Incompleta,1
12,F,Urbana,Premedia,7,Oficial,0,0,3.49,3.8,0,67.5,1,Secundaria_Incompleta,0
12,F,Urbana,Premedia,7,Oficial,0,0,4.36,4.71,0,91.4,3,Secundaria_Completa,0
9,M,Urbana,Primaria,4,Oficial,0,0,3.07,2.8,0,74.0,1,Primaria_Completa,0
13,M,Urbana,Premedia,8,Oficial,0,0,4.16,4.29,0,75.2,1,Primaria_Completa,0
15,F,Urbana,Media,10,Particular,1,0,2.82,2.44,2,57.4,1,Secundaria_Incompleta,1
9,F,Urbana,Primaria,4,Oficial,0,0,3.39,3.61,0,95.0,3,Universidad,0
16,F,Rural,Media,10,Oficial,0,1,2.66,3.65,2,68.9,1,Primaria_Incompleta,0
10,F,Urbana,Primaria,4,Oficial,0,1,3.15,3.58,0,91.8,2,Secundaria_Completa,0
19,F,Urbana,Media,11,Oficial,0,3,2.67,3.14,2,54.9,1,Primaria_Completa,1
12,F,Urbana,Premedia,7,Oficial,0,0,2.78,3.27,3,67.7,1,Primaria_Completa,0
16,M,Urbana,Media,11,Oficial,0,0,2.92,3.37,0,64.3,1,Secundaria_Completa,1
8,F,Urbana,Primaria,3,Oficial,0,0,2.91,3.22,0,67.8,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,4.88,4.54,0,85.7,2,Secundaria_Completa,0
9,F,Rural,Primaria,3,Oficial,0,1,3.23,3.89,0,62.3,1,Secundaria_Incompleta,0
17,M,Rural,Media,12,Oficial,0,0,2.89,3.15,0,57.7,1,Primaria_Completa,1
8,M,Rural,Primaria,3,Oficial,0,0,3.87,3.33,3,75.6,2,Secundaria_Incompleta,1
12,F,Rural,Primaria,5,Particular,0,2,3.13,3.29,2,80.5,1,Primaria_Completa,0
12,F,Rural,Premedia,7,Oficial,0,0,1.86,1.91,3,80.8,2,Secundaria_Incompleta,0
12,M,Urbana,Premedia,7,Oficial,0,0,3.33,3.48,3,77.8,2,Secundaria_Completa,0
9,M,Rural,Primaria,4,Oficial,1,0,2.84,2.03,3,78.4,1,Secundaria_Incompleta,0
15,F,Rural,Media,10,Particular,0,0,3.66,4.11,0,65.7,1,Universidad,0
12,F,Urbana,Premedia,7,Oficial,0,0,2.8,3.14,2,74.9,1,Secundaria_Completa,0
12,F,Urbana,Primaria,4,Particular,0,3,3.49,3.27,0,68.5,1,Secundaria_Incompleta,0
11,F,Rural,Primaria,5,Oficial,0,1,2.02,2.41,0,60.7,1,Primaria_Incompleta,0
13,M,Urbana,Premedia,8,Oficial,0,0,1.97,2.54,1,68.9,1,Secundaria_Incompleta,0
9,F,Rural,Primaria,2,Oficial,0,2,4.0,4.06,0,77.3,1,Secundaria_Incompleta,0
11,F,Urbana,Primaria,6,Oficial,0,0,3.24,3.62,3,81.3,1,Primaria_Completa,0
12,M,Urbana,Premedia,7,Oficial,0,0,4.11,4.18,0,77.0,1,Secundaria_Incompleta,0
15,M,Rural,Premedia,9,Oficial,0,1,3.69,3.13,1,60.1,1,Primaria_Incompleta,1
16,M,Urbana,Media,11,Oficial,0,0,1.64,1.55,0,57.8,1,Secundaria_Incompleta,1
13,F,Urbana,Premedia,8,Oficial,0,0,3.65,3.95,0,88.5,2,Secundaria_Incompleta,0
18,F,Urbana,Media,12,Particular,0,1,3.05,3.24,0,87.2,2,Universidad,0
18,M,Urbana,Media,10,Oficial,0,3,2.77,2.71,0,85.0,2,Secundaria_Incompleta,0
17,M,Urbana,Premedia,9,Oficial,0,3,4.64,4.73,0,92.2,2,Secundaria_Completa,0
9,F,Urbana,Primaria,4,Particular,0,0,4.2,4.2,0,87.8,2,Secundaria_Completa,0
10,F,Rural,Primaria,5,Oficial,1,0,2.93,2.14,0,74.5,1,Primaria_Completa,0
11,F,Urbana,Primaria,4,Oficial,2,2,2.14,1.74,0,69.7,1,Primaria_Completa,0
12,M,Urbana,Premedia,7,Particular,0,0,3.4,3.04,0,71.4,1,Primaria_Completa,0
16,M,Rural,Premedia,9,Oficial,2,2,2.43,2.14,3,76.0,1,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Particular,0,0,3.08,3.61,0,70.4,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,4.38,4.65,0,80.0,1,Primaria_Completa,0
11,F,Urbana,Primaria,6,Particular,0,0,3.82,3.94,3,81.7,3,Universidad,0
8,F,Urbana,Primaria,3,Particular,0,0,4.01,4.05,0,91.9,3,Universidad,0
15,F,Rural,Premedia,7,Oficial,0,3,3.37,3.68,0,67.4,1,Secundaria_Incompleta,1
13,M,Rural,Premedia,8,Oficial,1,0,2.78,2.28,0,77.1,1,Secundaria_Incompleta,0
8,M,Rural,Primaria,3,Oficial,0,0,2.99,2.99,1,69.4,1,Primaria_Completa,0
18,F,Urbana,Media,10,Oficial,0,3,4.03,3.91,0,93.0,2,Universidad,0
13,M,Rural,Premedia,8,Oficial,0,0,5.0,4.93,0,98.3,3,Universidad,0
17,F,Urbana,Premedia,9,Oficial,0,3,3.1,2.81,0,61.0,1,Secundaria_Incompleta,0
15,M,Rural,Premedia,7,Oficial,2,3,2.13,1.32,2,67.7,1,Secundaria_Completa,1
12,F,Rural,Primaria,5,Oficial,1,2,2.1,2.33,2,74.8,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,3.73,4.1,0,91.8,3,Universidad,0
16,F,Urbana,Media,11,Oficial,1,0,2.3,1.85,3,70.5,1,Secundaria_Incompleta,0
17,M,Urbana,Media,12,Oficial,0,0,4.41,4.01,2,92.8,3,Universidad,0
13,M,Urbana,Premedia,8,Oficial,0,0,3.5,3.78,2,65.4,1,Secundaria_Incompleta,0
17,M,Urbana,Media,12,Oficial,0,0,3.34,4.21,0,73.7,1,Primaria_Completa,0
7,F,Urbana,Primaria,2,Oficial,0,0,2.21,3.32,3,67.7,1,Primaria_Completa,0
9,F,Urbana,Primaria,4,Oficial,0,0,4.29,4.21,0,74.9,1,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Particular,0,0,3.81,3.46,0,75.9,1,Primaria_Incompleta,0
14,F,Urbana,Primaria,6,Oficial,0,3,3.2,3.7,0,62.1,1,Secundaria_Completa,1
9,M,Rural,Primaria,4,Oficial,0,0,3.29,3.6,0,72.8,1,Secundaria_Incompleta,0
16,M,Rural,Media,11,Oficial,0,0,4.19,4.25,0,73.8,2,Secundaria_Incompleta,1
6,M,Rural,Primaria,1,Oficial,0,0,2.59,2.45,1,55.9,1,Secundaria_Completa,1
